year,month,day,gender,death,state,causes
1983,1,1,F,3694,karnataka,natural
1983,1,1,M,3697,karnataka,accident
null,1,2,null,null,uttar pradesh,null
1983,1,2,M,4184,uttar pradesh,suicide
1983,1,3,F,4453,kerala,homicide
1983,1,3,M,4513,kerala,natural
1983,1,4,F,4284,tamil nadhu,natural
1983,1,4,M,4595,tamil nadhu,natural
1983,1,5,F,4371,goa,natural
1983,1,5,M,4488,goa,natural
1983,1,6,F,3763,maharastra,natural
1983,1,6,M,4003,maharastra,natural
1983,1,7,F,3544,gujarath,natural
1983,1,7,M,3765,gujarath,natural
1983,1,8,F,4274,karnataka,natural
1983,1,8,M,4312,karnataka,natural
1983,1,9,F,4309,andra pradesh,natural
1983,1,9,M,4397,andra pradesh,natural
1983,1,10,F,4222,jammu and kashmir,natural
1983,1,10,M,4457,jammu and kashmir,natural
1983,1,11,F,4261,punjab,accident
1983,1,11,M,4689,punjab,accident
1983,1,12,F,4538,mizoram,accident
1983,1,12,M,4647,mizoram,accident
1983,1,13,F,3975,odisha,accident
1983,1,13,M,4209,odisha,accident
1983,1,14,F,3731,madya pradesh,accident
1983,1,14,M,3829,madya pradesh,accident
1983,1,15,F,4450,telangana,accident
1983,1,15,M,4453,telangana,accident
1983,1,16,F,4541,uttarakandh,accident
1983,1,16,M,4808,uttarakandh,accident
1983,1,17,F,4385,tirpura,accident
1983,1,17,M,4811,tirpura,accident
1983,1,18,F,4353,nagaland,accident
1983,1,18,M,4711,nagaland,accident
1983,1,19,F,4508,assam,accident
1983,1,19,M,4879,assam,accident
1983,1,20,F,3891,west bengal,suicide
1983,1,20,M,4131,west bengal,suicide
1983,1,21,F,3743,manipur,suicide
1983,1,21,M,3876,manipur,suicide
1983,1,22,F,4387,haryana,suicide
1983,1,22,M,4652,haryana,suicide
1983,1,23,F,4540,bihar,suicide
1983,1,23,M,4732,bihar,suicide
1983,1,24,F,4307,rajasthan,suicide
1983,1,24,M,4579,rajasthan,suicide
1983,1,25,F,4423,sikkim,suicide
1983,1,25,M,4536,sikkim,suicide
1983,1,26,F,4418,himachal pradesh,suicide
1983,1,26,M,4619,himachal pradesh,suicide
1983,1,27,F,3872,arunachal pradesh,suicide
1983,1,27,M,4150,arunachal pradesh,suicide
